Tanggal,Nama Gempa,Jumlah,Amplitudo Min (mm),Amplitudo Max (mm),Durasi Min (detik),Durasi Max (detik)
30 Januari 2025,Tektonik Lokal,1,,3.7,,21.0
30 Januari 2025,Tektonik Jauh,4,14.8,22.2,42.0,136.0
31 Januari 2025,Hembusan,29,2.2,14.8,24.0,294.0
31 Januari 2025,Harmonik,1,,7.4,,85.0
31 Januari 2025,Vulkanik Dangkal,1,,4.4,,9.0
31 Januari 2025,Vulkanik Dalam,2,7.4,44.4,10.0,11.0
31 Januari 2025,Tektonik Lokal,1,,7.4,,35.0
31 Januari 2025,Tektonik Jauh,4,2.9,47.3,65.0,258.0
01 Februari 2025,Hembusan,10,2.9,7.4,34.0,130.0
01 Februari 2025,Harmonik,14,3.7,22.0,84.0,225.0
01 Februari 2025,Vulkanik Dalam,1,,4.4,,9.0
01 Februari 2025,Tektonik Jauh,6,5.9,11.0,62.0,202.0
01 Februari 2025,Getaran Banjir,1,,47.3,,2685.0
02 Februari 2025,Hembusan,12,3.7,7.4,27.0,83.0
02 Februari 2025,Harmonik,4,2.9,4.4,43.0,95.0
02 Februari 2025,Vulkanik Dalam,1,,4.4,,9.0
02 Februari 2025,Tektonik Jauh,6,4.4,14.8,33.0,113.0
03 Februari 2025,Hembusan,24,2.9,29.6,33.0,200.0
03 Februari 2025,Harmonik,2,5.9,10.5,81.0,87.0
03 Februari 2025,Vulkanik Dalam,2,4.4,5.9,13.0,15.0
03 Februari 2025,Tektonik Jauh,4,5.9,10.5,44.0,233.0
04 Februari 2025,Hembusan,24,2.9,14.8,30.0,186.0
04 Februari 2025,Harmonik,5,,7.4,21.0,104.0
04 Februari 2025,Low Frequency,1,,10.5,,42.0
04 Februari 2025,Vulkanik Dalam,3,3.7,7.4,10.0,15.0
04 Februari 2025,Tektonik Jauh,7,7.4,44.4,71.0,190.0
05 Februari 2025,Hembusan,25,2.9,7.4,26.0,183.0
05 Februari 2025,Harmonik,17,4.4,18.5,49.0,182.0
05 Februari 2025,Vulkanik Dalam,1,,11.0,,9.0
05 Februari 2025,Tektonik Jauh,4,3.7,29.6,43.0,329.0
06 Februari 2025,Hembusan,17,2.9,14.8,34.0,147.0
06 Februari 2025,Harmonik,11,4.4,22.0,48.0,156.0
06 Februari 2025,Low Frequency,2,4.4,7.4,26.0,30.0
06 Februari 2025,Vulkanik Dalam,4,3.7,14.8,11.0,13.0
06 Februari 2025,Tektonik Lokal,4,10.3,18.5,19.0,27.0
06 Februari 2025,Tektonik Jauh,6,5.3,11.0,70.0,160.0
07 Februari 2025,Hembusan,27,2.9,29.6,25.0,163.0
07 Februari 2025,Harmonik,3,7.4,10.5,23.0,81.0
07 Februari 2025,Tektonik Lokal,1,,14.8,,22.0
07 Februari 2025,Tektonik Jauh,9,3.7,22.2,44.0,281.0
08 Februari 2025,Hembusan,27,2.9,29.6,30.0,126.0
08 Februari 2025,Harmonik,1,,5.9,,103.0
08 Februari 2025,Low Frequency,1,,22.2,,24.0
08 Februari 2025,Tektonik Jauh,1,,7.4,,60.0
09 Februari 2025,Hembusan,16,2.9,27.3,22.0,101.0
09 Februari 2025,Harmonik,3,3.7,5.9,104.0,164.0
09 Februari 2025,Low Frequency,2,4.4,14.8,25.0,33.0
09 Februari 2025,Vulkanik Dalam,2,5.9,11.0,10.0,13.0
09 Februari 2025,Tektonik Jauh,4,5.9,47.3,35.0,361.0
10 Februari 2025,Hembusan,6,2.9,14.8,37.0,60.0
10 Februari 2025,Harmonik,3,5.3,7.4,67.0,143.0
10 Februari 2025,Low Frequency,1,,7.4,,26.0
10 Februari 2025,Vulkanik Dalam,2,5.9,11.0,10.0,12.0
10 Februari 2025,Tektonik Jauh,9,3.7,47.3,38.0,161.0
11 Februari 2025,Hembusan,26,4.4,22.2,21.0,103.0
11 Februari 2025,Harmonik,3,4.4,22.2,22.0,42.0
11 Februari 2025,Low Frequency,1,,4.4,,30.0
11 Februari 2025,Vulkanik Dalam,3,14.8,29.6,11.0,13.0
11 Februari 2025,Tektonik Jauh,2,10.5,29.6,44.0,47.0
12 Februari 2025,Hembusan,27,3.7,37.0,22.0,110.0
12 Februari 2025,Harmonik,17,4.4,14.8,14.0,176.0
12 Februari 2025,Low Frequency,13,7.4,44.4,17.0,53.0
12 Februari 2025,Vulkanik Dangkal,7,10.5,14.8,9.0,16.0
12 Februari 2025,Vulkanik Dalam,92,4.4,47.3,9.0,19.0
12 Februari 2025,Tektonik Lokal,6,14.8,47.3,23.0,30.0
12 Februari 2025,Tektonik Jauh,2,7.4,10.5,70.0,151.0
12 Februari 2025,Getaran Banjir,1,,47.3,,3194.0
13 Februari 2025,Hembusan,32,3.7,37.0,25.0,110.0
13 Februari 2025,Harmonik,12,4.4,10.5,71.0,149.0
13 Februari 2025,Low Frequency,8,5.9,44.4,21.0,41.0
13 Februari 2025,Vulkanik Dalam,36,3.7,47.3,9.0,24.0
13 Februari 2025,Tektonik Jauh,8,5.9,29.6,45.0,301.0
14 Februari 2025,Hembusan,4,2.2,7.4,27.0,347.0
14 Februari 2025,Harmonik,17,3.7,7.4,38.0,198.0
14 Februari 2025,Low Frequency,1,,7.4,,36.0
14 Februari 2025,Vulkanik Dalam,2,4.4,47.3,12.0,15.0
14 Februari 2025,Tektonik Jauh,9,2.9,29.6,45.0,375.0
15 Februari 2025,Hembusan,24,2.2,7.4,22.0,302.0
15 Februari 2025,Harmonik,10,2.2,7.4,32.0,293.0
15 Februari 2025,Vulkanik Dalam,2,2.9,7.4,11.0,17.0
15 Februari 2025,Tektonik Jauh,10,2.9,14.8,53.0,209.0
16 Februari 2025,Hembusan,17,2.2,5.9,28.0,223.0
16 Februari 2025,Harmonik,6,2.2,5.9,56.0,124.0
16 Februari 2025,Low Frequency,2,5.9,7.4,27.0,32.0
16 Februari 2025,Vulkanik Dalam,2,,4.4,11.0,13.0
16 Februari 2025,Tektonik Jauh,6,2.9,14.8,35.0,155.0
17 Februari 2025,Hembusan,52,2.2,10.5,23.0,219.0
17 Februari 2025,Harmonik,1,,7.4,,189.0
17 Februari 2025,Low Frequency,2,2.2,3.7,28.0,34.0
17 Februari 2025,Vulkanik Dalam,1,,7.4,,9.0
17 Februari 2025,Tektonik Jauh,7,2.9,47.3,50.0,157.0
17 Februari 2025,Getaran Banjir,1,,5.9,,593.0
18 Februari 2025,Hembusan,22,2.9,7.4,23.0,198.0
18 Februari 2025,Harmonik,12,2.9,7.4,77.0,186.0
18 Februari 2025,Vulkanik Dalam,1,,2.9,,10.0
18 Februari 2025,Tektonik Lokal,1,,5.9,,22.0
18 Februari 2025,Tektonik Jauh,4,2.9,37.0,48.0,180.0
19 Februari 2025,Hembusan,32,2.2,10.5,20.0,189.0
19 Februari 2025,Harmonik,3,2.2,5.9,27.0,97.0
19 Februari 2025,Vulkanik Dalam,4,7.4,47.3,9.0,15.0
19 Februari 2025,Tektonik Jauh,9,2.9,47.3,47.0,251.0
20 Februari 2025,Hembusan,19,2.9,7.4,24.0,213.0
20 Februari 2025,Harmonik,10,3.7,7.4,66.0,129.0
20 Februari 2025,Vulkanik Dalam,1,,11.0,,10.0
20 Februari 2025,Tektonik Lokal,1,,7.4,,27.0
20 Februari 2025,Tektonik Jauh,1,,7.4,,45.0
21 Februari 2025,Hembusan,29,2.9,29.6,29.0,190.0
21 Februari 2025,Harmonik,10,3.7,7.4,38.0,264.0
21 Februari 2025,Low Frequency,6,2.9,22.2,24.0,51.0
21 Februari 2025,Vulkanik Dalam,3,2.9,47.3,11.0,14.0
21 Februari 2025,Tektonik Lokal,1,,14.8,,40.0
21 Februari 2025,Tektonik Jauh,1,,2.9,,61.0
22 Februari 2025,Hembusan,50,2.9,37.0,34.0,199.0
22 Februari 2025,Harmonik,2,3.7,4.4,114.0,141.0
22 Februari 2025,Vulkanik Dalam,2,5.1,7.4,9.0,11.0
22 Februari 2025,Tektonik Lokal,1,,14.8,,27.0
22 Februari 2025,Tektonik Jauh,8,4.4,44.0,44.0,149.0
22 Februari 2025,Getaran Banjir,1,,47.3,,817.0
23 Februari 2025,Hembusan,19,2.2,7.4,25.0,160.0
23 Februari 2025,Harmonik,1,,3.7,,28.0
23 Februari 2025,Vulkanik Dalam,1,,4.4,,10.0
23 Februari 2025,Tektonik Lokal,1,,7.4,,22.0
23 Februari 2025,Tektonik Jauh,9,2.2,7.4,79.0,203.0
23 Februari 2025,Getaran Banjir,2,29.6,47.3,1006.0,2678.0
24 Februari 2025,Hembusan,27,2.9,28.1,34.0,224.0
24 Februari 2025,Harmonik,8,2.9,7.4,26.0,254.0
24 Februari 2025,Vulkanik Dalam,3,4.4,18.5,9.0,16.0
24 Februari 2025,Tektonik Lokal,1,,4.4,,23.0
24 Februari 2025,Tektonik Jauh,5,4.4,47.3,47.0,429.0
24 Februari 2025,Getaran Banjir,1,,47.3,,3142.0
25 Februari 2025,Hembusan,34,3.7,22.2,38.0,126.0
25 Februari 2025,Harmonik,6,4.4,7.4,85.0,299.0
25 Februari 2025,Vulkanik Dalam,3,7.4,22.0,12.0,16.0
25 Februari 2025,Tektonik Jauh,5,4.4,14.8,41.0,263.0
26 Februari 2025,Hembusan,18,4.4,47.3,32.0,168.0
26 Februari 2025,Harmonik,9,4.4,14.8,32.0,228.0
26 Februari 2025,Vulkanik Dalam,2,5.1,11.0,10.0,14.0
26 Februari 2025,Tektonik Jauh,4,7.4,14.8,55.0,247.0
27 Februari 2025,Hembusan,17,4.4,25.9,28.0,239.0
27 Februari 2025,Harmonik,2,3.7,7.4,84.0,103.0
27 Februari 2025,Tektonik Lokal,1,,2.9,,31.0
27 Februari 2025,Tektonik Jauh,5,2.2,47.3,51.0,239.0
27 Februari 2025,Getaran Banjir,1,,47.3,,2034.0
28 Februari 2025,Hembusan,12,2.9,14.8,32.0,231.0
28 Februari 2025,Harmonik,10,4.4,7.4,43.0,315.0
28 Februari 2025,Vulkanik Dalam,1,,3.7,,9.0
28 Februari 2025,Tektonik Lokal,1,,5.9,,35.0
28 Februari 2025,Tektonik Jauh,8,2.2,47.3,51.0,169.0
01 Maret 2025,Hembusan,18,2.2,14.8,30.0,167.0
01 Maret 2025,Harmonik,5,3.7,5.1,70.0,155.0
01 Maret 2025,Low Frequency,1,,4.4,,30.0
01 Maret 2025,Vulkanik Dalam,2,2.9,4.4,,12.0
01 Maret 2025,Tektonik Jauh,10,2.2,29.6,48.0,280.0
02 Maret 2025,Hembusan,22,2.9,14.8,37.0,161.0
02 Maret 2025,Harmonik,6,2.9,7.4,38.0,286.0
02 Maret 2025,Tornillo,2,2.9,5.1,91.0,142.0
02 Maret 2025,Low Frequency,2,2.9,11.0,30.0,33.0
02 Maret 2025,Vulkanik Dalam,2,2.2,3.7,14.0,15.0
02 Maret 2025,Tektonik Lokal,2,2.9,7.4,29.0,33.0
02 Maret 2025,Tektonik Jauh,10,2.9,44.0,39.0,127.0
03 Maret 2025,Hembusan,22,3.7,14.8,25.0,140.0
03 Maret 2025,Harmonik,15,2.9,7.4,53.0,130.0
03 Maret 2025,Tektonik Lokal,2,,4.4,21.0,33.0
03 Maret 2025,Tektonik Jauh,8,2.2,44.4,43.0,144.0
04 Maret 2025,Hembusan,17,2.9,7.4,24.0,131.0
04 Maret 2025,Harmonik,7,2.9,10.5,32.0,86.0
04 Maret 2025,Vulkanik Dalam,3,2.9,10.5,11.0,15.0
04 Maret 2025,Tektonik Lokal,1,,4.4,,22.0
04 Maret 2025,Tektonik Jauh,9,2.9,29.6,40.0,144.0
05 Maret 2025,Hembusan,19,2.9,14.8,21.0,143.0
05 Maret 2025,Harmonik,4,5.9,7.4,20.0,46.0
05 Maret 2025,Vulkanik Dalam,2,7.4,44.4,,10.0
05 Maret 2025,Tektonik Jauh,7,2.9,47.3,57.0,109.0
06 Maret 2025,Hembusan,16,2.9,10.5,53.0,154.0
06 Maret 2025,Harmonik,11,2.9,5.9,74.0,196.0
06 Maret 2025,Vulkanik Dalam,2,3.7,47.3,11.0,12.0
06 Maret 2025,Tektonik Lokal,3,4.4,14.8,25.0,34.0
06 Maret 2025,Tektonik Jauh,3,4.4,44.4,57.0,113.0
07 Maret 2025,Hembusan,19,2.9,29.6,30.0,122.0
07 Maret 2025,Harmonik,14,2.2,7.4,58.0,147.0
07 Maret 2025,Low Frequency,1,,11.0,,22.0
07 Maret 2025,Vulkanik Dalam,3,3.7,5.9,9.0,16.0
07 Maret 2025,Tektonik Lokal,5,2.9,47.3,24.0,99.0
07 Maret 2025,Tektonik Jauh,6,4.4,29.6,33.0,197.0
08 Maret 2025,Hembusan,22,2.2,22.2,23.0,185.0
08 Maret 2025,Harmonik,6,2.2,7.4,36.0,125.0
08 Maret 2025,Vulkanik Dalam,1,,4.4,,12.0
08 Maret 2025,Tektonik Lokal,3,4.4,29.6,21.0,38.0
08 Maret 2025,Tektonik Jauh,9,2.2,29.6,50.0,200.0
09 Maret 2025,Hembusan,25,2.2,7.4,20.0,245.0
09 Maret 2025,Harmonik,2,,4.4,136.0,153.0
09 Maret 2025,Vulkanik Dalam,1,,2.2,,10.0
09 Maret 2025,Tektonik Lokal,2,,4.4,20.0,26.0
09 Maret 2025,Tektonik Jauh,6,2.9,29.6,72.0,164.0
10 Maret 2025,Hembusan,23,2.2,7.4,11.0,183.0
10 Maret 2025,Harmonik,13,3.7,10.5,80.0,320.0
10 Maret 2025,Tektonik Jauh,5,3.7,47.3,48.0,204.0
11 Maret 2025,Hembusan,8,3.7,7.4,55.0,112.0
11 Maret 2025,Harmonik,12,4.4,7.4,57.0,143.0
11 Maret 2025,Tektonik Jauh,3,5.9,11.0,55.0,66.0
12 Maret 2025,Hembusan,25,2.6,7.4,21.0,181.0
12 Maret 2025,Harmonik,13,4.4,7.4,40.0,169.0
12 Maret 2025,Tektonik Lokal,1,,14.8,,23.0
12 Maret 2025,Tektonik Jauh,3,2.9,7.4,43.0,272.0
13 Maret 2025,Hembusan,27,2.9,22.2,22.0,170.0
13 Maret 2025,Harmonik,7,2.9,7.4,67.0,147.0
13 Maret 2025,Low Frequency,1,,14.8,,27.0
13 Maret 2025,Vulkanik Dalam,6,4.4,44.4,10.0,18.0
13 Maret 2025,Tektonik Jauh,7,3.9,22.2,41.0,245.0
13 Maret 2025,Getaran Banjir,2,,47.3,1083.0,1853.0
14 Maret 2025,Hembusan,28,2.9,22.2,22.0,198.0
14 Maret 2025,Harmonik,9,3.7,7.4,69.0,301.0
14 Maret 2025,Low Frequency,1,,14.8,,30.0
14 Maret 2025,Tektonik Jauh,3,2.9,22.0,59.0,186.0
14 Maret 2025,Getaran Banjir,1,,47.3,,3187.0
15 Maret 2025,Hembusan,17,2.9,22.0,20.0,194.0
15 Maret 2025,Harmonik,7,3.7,7.4,34.0,128.0
15 Maret 2025,Vulkanik Dalam,8,4.4,22.2,10.0,15.0
15 Maret 2025,Tektonik Lokal,1,,5.9,,32.0
15 Maret 2025,Tektonik Jauh,7,3.7,22.0,41.0,78.0
16 Maret 2025,Hembusan,22,2.9,7.4,27.0,133.0
16 Maret 2025,Harmonik,12,2.9,7.4,79.0,249.0
16 Maret 2025,Tornillo,1,,4.4,,28.0
16 Maret 2025,Vulkanik Dalam,2,2.9,3.7,12.0,15.0
16 Maret 2025,Tektonik Lokal,4,29.0,47.3,82.0,264.0
16 Maret 2025,Tektonik Jauh,2,2.9,14.8,97.0,126.0
17 Maret 2025,Hembusan,20,2.9,10.5,31.0,291.0
17 Maret 2025,Harmonik,2,,7.4,76.0,86.0
17 Maret 2025,Tektonik Lokal,1,,4.4,,31.0
17 Maret 2025,Tektonik Jauh,4,2.9,22.2,54.0,245.0
18 Maret 2025,Hembusan,9,2.9,7.4,21.0,139.0
18 Maret 2025,Harmonik,15,2.9,7.4,59.0,264.0
18 Maret 2025,Tektonik Jauh,12,2.9,47.3,55.0,281.0
19 Maret 2025,Hembusan,13,2.9,7.4,27.0,117.0
19 Maret 2025,Harmonik,14,3.7,11.0,51.0,309.0
19 Maret 2025,Low Frequency,2,5.9,7.4,21.0,29.0
